file_name	article_title	article_author
-interview-with-dr-anthony-fauci.html	Dr. Fauci On How The U.S. Is Doing And The Timeline For A COVID-19 Vaccine	Anna Rothschild
-you-buy-that-coronavirus-will-be-what-makes-or-breaks-trumps-re-election-prospects.html	Do You Buy That … Coronavirus Will Be What Makes Or Breaks Trump’s Re-election Prospects?	Nate Silver
-you-buy-that-mail-in-voting-will-hurt-republicans.html	Do You Buy That … Mail-In Voting Will Hurt Republicans?	Nate Silver
-you-buy-that-masks-could-help-trump-politically.html	Do You Buy That … Masks Could Help Trump Politically?	Nate Silver
-you-buy-that-voter-enthusiasm-will-help-trump-in-2020.html	Do You Buy That … Voter Enthusiasm Will Help Trump In 2020?	Nate Silver
2020-could-be-the-new-year-of-the-woman-for-the-gop.html	2020 Could Be The New Year Of The Woman … For The GOP	Meredith Conroy
america-is-testing-for-covid-19-more-than-ever-and-it-still-isnt-enough.html	America Is Testing For COVID-19 More Than Ever — And It Still Isn’t Enough	Kaleigh Rogers
americans-increasingly-dislike-how-republican-governors-are-handling-the-coronavirus-outbreak.html	Americans Increasingly Dislike How Republican Governors Are Handling The Coronavirus Outbreak	Geoffrey Skelley
americans-support-voting-by-mail-but-not-all-of-them-want-to-or-can.html	Americans Mostly Support Voting By Mail	Nathaniel Rakich
are-you-a-pinball-wizard.html	Are You A Pinball Wizard?	Zach Wissner-Gross
barcelona-is-struggling-is-messi-part-of-the-problem-or-the-solution.html	Barcelona Is Struggling. Is Messi Part Of The Problem Or The Solution?	
baseball-will-be-weird-this-year-but-the-astros-and-yankees-are-favorites-in-the-american-league-again.html	Baseball Will Be Weird This Year. But The Astros And Yankees Are Favorites In The American League … Again.	Neil Paine
bernie-williams-deserves-more-credit-for-making-the-yankees-a-dynasty.html	Bernie Williams Deserves More Credit For Making The Yankees A Dynasty	Neil Paine
bidens-polling-lead-is-big-and-steady.html	Biden’s Polling Lead Is Big — And Steady	Geoffrey Skelley
bryson-dechambeaus-power-boost-is-off-the-charts.html	Bryson DeChambeau’s Power Boost Is Off The Charts	Geoff Foster
can-the-hare-beat-the-tortoise.html	Can The Hare Beat The Tortoise?	Zach Wissner-Gross
can-you-make-24.html	Can You Make 24?	Zach Wissner-Gross
can-you-stay-in-your-lane.html	Can You Stay In Your Lane?	Zach Wissner-Gross
canceled-races-arent-stopping-endurance-athletes-from-setting-wild-new-records.html	Canceled Races Aren’t Stopping Endurance Athletes From Setting Wild New Records	Anna Wiederkehr
charles-booker-jamaal-bowman-and-the-7-competing-camps-in-black-politics.html	Charles Booker, Jamaal Bowman And The 7 Competing Camps In Black Politics	Perry Bacon Jr.
cret-trump-voters-didnt-decide-2016-and-probably-wont-swing-2020.html	Secret Trump Voters Didn’t Decide 2016 And Probably Won’t Swing 2020	Galen Druke
e-covid-19-death-rate-is-rising-americans-disagree-with-trump-on-what-to-do-about-it.html	COVID-19 Deaths Are Increasing. Americans Disagree With Trump On What To Do About It.	Galen Druke
e-supreme-court-justices-influenced-by-public-opinion.html	Are Supreme Court Justices Influenced By Public Opinion?	Galen Druke
economists-think-congress-could-create-an-economic-disaster-this-summer.html	Economists Think Congress Could Create An Economic Disaster This Summer	Amelia Thomson-DeVeaux
